prenom,nom,age,genre,filiere,annee_etude,bac_serie,mention_bac,boursier,taux_presence,nb_absences,heures_travail_sem,participation_cours,nb_devoirs_rendus,note_partiel_mi,utilisation_biblio,groupe_etude,ressources_ligne,job_etudiant,heures_job_sem,distance_univ,transport,soutien_famille,stress_percu,sante_percue,sport_regulier,espace_travail,note_finale,mention
Stone,Djokpo,20,M,Droit,L1,Général,4,1,66.7,4,11,3,12,8.03,0,1,1,0,0,1.3,Vélo/Marche,0,9,5,0,1,9.08,Moyen
Francois,Ghedhoui,25,M,Droit,M2,Général,1,0,70.4,7,15,0,12,12.38,2,0,0,0,0,3.9,Vélo/Marche,3,6,6,0,1,6.7,Faible
Kouaho,Muller,20,M,Sciences,L1,Général,1,1,42.2,6,13,3,12,13.0,5,1,1,1,20,6.4,Transport en commun,3,5,9,0,0,8.19,Moyen
Jihad,AdjoAwada,21,M,Droit,L1,Professionnel,2,0,71.9,3,18,4,5,13.76,0,1,0,0,0,17.7,Transport en commun,4,5,6,1,0,12.55,Bon
Dourra,Sy,23,F,Lettres,L3,Général,4,0,53.7,6,13,3,9,8.01,2,0,1,1,12,20.8,Voiture,3,5,7,0,1,9.93,Moyen
Blanche,Khelouat,21,F,Mathematiques,L3,Général,4,0,70.5,4,14,4,6,13.6,0,0,1,0,0,2.4,Vélo/Marche,5,6,8,0,1,11.23,Moyen
Taisir,Kuzmenko,20,F,Gestion,L1,Général,2,0,63.8,4,11,3,8,13.84,4,0,0,0,0,51.8,Logement sur place,2,5,7,1,1,11.9,Moyen
Ramzi,Fall,21,M,Lettres,L3,Général,3,0,60.0,6,8,1,12,6.2,1,1,1,0,0,7.5,Transport en commun,4,4,6,0,0,6.83,Faible
Hadja,El malki,20,F,Informatique,L2,Général,1,1,93.0,3,13,1,7,6.23,4,1,1,1,20,22.5,Voiture,3,5,5,1,1,6.85,Faible
Catherine,Attias,20,F,Sciences,L1,Technologique,4,0,53.6,5,19,4,9,15.05,1,0,0,1,20,13.4,Transport en commun,3,10,5,0,0,13.95,Bon
Syrine,Ayachi,19,F,Droit,L1,Général,4,0,58.6,6,8,3,8,7.55,3,0,1,0,0,4.5,Vélo/Marche,4,10,8,1,1,10.02,Moyen
Lena,Piquer,23,F,Informatique,L3,Général,1,0,62.8,5,10,3,6,16.64,1,0,0,0,0,33.7,Voiture,2,4,6,0,1,9.73,Moyen
Mamadou,Piquer,21,M,Psychologie,L1,Général,1,0,66.3,3,11,1,12,9.74,1,0,0,1,25,30.7,Voiture,1,7,9,0,1,6.12,Faible
Mohammadreza,Barry,25,M,Droit,M2,Général,0,0,60.0,5,14,3,5,12.26,0,1,1,1,20,9.1,Transport en commun,3,4,10,1,1,8.07,Moyen
Francis,Iamundo,24,M,Droit,M1,Professionnel,1,0,68.3,3,13,0,9,12.08,1,0,1,0,0,16.0,Transport en commun,3,5,5,1,0,8.16,Moyen
Marie,Tourret,25,F,Droit,M2,Général,3,0,78.8,2,16,1,9,8.09,3,1,1,0,0,5.4,Transport en commun,4,3,8,1,1,10.2,Moyen
Steph,Gueye,19,M,Lettres,L1,Technologique,1,0,84.7,2,21,2,9,16.08,2,1,0,1,20,21.1,Voiture,5,8,10,1,1,14.36,Bon
Cheikh,Et touil mendez,23,M,Droit,M2,Général,0,1,83.9,5,8,2,8,9.74,1,1,1,1,16,6.7,Transport en commun,1,7,5,1,1,5.52,Faible
Salim,Mbengue,22,M,Psychologie,L2,Général,1,1,43.5,7,14,1,12,11.02,5,0,1,1,16,33.5,Voiture,3,7,9,1,1,7.26,Faible
Balla,Sangwe,22,M,Informatique,L2,Professionnel,4,0,80.1,2,13,1,4,3.27,2,1,1,1,20,4.4,Vélo/Marche,4,7,8,1,1,9.94,Moyen
Louange,Mousali,19,F,Gestion,L1,Général,2,0,81.1,2,11,3,10,5.72,5,0,0,0,0,0.5,Vélo/Marche,5,4,9,1,1,9.38,Moyen
Ikram,Redombo-Agnorogoule,20,F,Sciences,L1,Technologique,2,0,63.4,4,14,3,10,15.08,0,1,1,1,30,5.6,Transport en commun,5,5,5,1,1,11.56,Moyen
Louis,Sangwe,21,M,Mathematiques,L3,Général,1,1,100.0,3,10,3,10,10.78,4,0,1,0,0,3.8,Vélo/Marche,4,6,10,1,1,11.24,Moyen
Abdoul,Barry,20,M,Sciences,L2,Technologique,4,0,91.4,1,13,2,7,8.57,0,0,1,1,20,12.8,Transport en commun,3,5,6,0,1,11.73,Moyen
Jessica,Tall,19,F,Sciences,L1,Général,3,0,71.1,5,4,5,12,8.64,2,0,1,1,20,4.1,Vélo/Marche,2,6,8,0,1,8.86,Moyen
Cheikh,Bergoin,21,M,Informatique,L3,Général,1,1,64.5,4,8,0,12,12.88,1,0,0,0,0,25.9,Voiture,3,4,7,0,1,8.14,Moyen
Cheikh,Conde,19,M,Lettres,L1,Technologique,0,0,100.0,5,16,1,7,15.59,2,1,0,1,8,5.0,Transport en commun,3,8,8,1,1,9.37,Moyen
Mamadou,El malki,22,M,Psychologie,L3,Professionnel,0,0,73.7,3,16,3,6,8.67,2,0,1,1,16,22.1,Voiture,4,8,5,1,1,7.88,Faible
Yassine,M'jahad,22,M,Gestion,L2,Professionnel,1,0,75.4,2,12,1,6,14.96,1,1,1,1,30,15.5,Transport en commun,3,8,5,1,0,8.49,Moyen
Leilath,Yassir,24,F,Informatique,M1,Technologique,2,1,75.2,2,9,3,10,10.19,5,0,0,0,0,77.2,Logement sur place,4,7,7,0,1,11.95,Moyen
Hadja,Crespo,23,F,Informatique,M1,Technologique,4,1,100.0,1,15,3,9,12.7,5,1,0,0,0,120.0,Logement sur place,3,3,6,0,1,15.97,Excellent
Jonathan,Agbagno,22,M,Gestion,L2,Général,2,1,70.5,4,17,5,8,4.05,5,0,1,1,20,36.7,Voiture,4,4,6,1,0,7.22,Faible
Djidou,Fall,22,M,Droit,L2,Général,3,0,73.6,4,9,4,12,4.71,5,0,1,1,30,25.7,Voiture,1,4,8,1,0,7.07,Faible
Blanche,Barry,22,F,Mathematiques,L2,Général,2,0,60.7,4,4,5,8,13.92,3,0,1,0,0,8.8,Transport en commun,2,5,4,0,1,10.44,Moyen
Miryam,Badaoui,23,F,Sciences,M1,Général,2,1,67.8,5,13,1,9,11.84,5,1,1,0,0,25.2,Voiture,2,8,9,1,1,9.02,Moyen
Lea,Paucarima,21,F,Mathematiques,L2,Général,3,1,57.5,4,16,4,9,12.33,4,1,1,0,0,56.5,Logement sur place,4,2,7,0,1,12.8,Bon
Vavo,Hachem majdalani,21,F,Mathematiques,L1,Général,1,0,61.0,5,14,1,12,6.7,1,0,0,1,16,0.5,Vélo/Marche,1,4,8,0,1,6.69,Faible
Railey,Agbagno,21,M,Psychologie,L1,Général,1,1,45.0,6,19,3,4,9.2,3,0,1,1,25,13.9,Transport en commun,4,5,8,1,0,5.17,Faible
Youssef,Ayachi,22,M,Sciences,L2,Technologique,2,0,88.1,2,19,3,8,4.45,4,0,1,1,25,4.4,Vélo/Marche,2,3,8,1,1,9.88,Moyen
Hadja,Adjagbe,20,F,Informatique,L2,Général,0,0,76.5,2,9,1,11,7.58,3,1,1,1,16,14.7,Transport en commun,3,6,5,1,0,7.27,Faible
Cheikh,Jida,22,M,Gestion,M1,Général,1,1,77.8,5,12,3,8,10.71,1,0,1,1,20,11.3,Transport en commun,5,5,9,0,1,10.09,Moyen
Safiatou,Essabe mbome oye,19,F,Informatique,L1,Général,2,0,73.2,3,9,0,6,12.05,0,1,1,0,0,15.4,Transport en commun,3,8,7,0,1,9.41,Moyen
Mouniratou,Sangwe,21,F,Gestion,L2,Technologique,4,1,75.1,2,6,2,9,8.09,3,1,1,1,30,14.4,Transport en commun,2,5,6,0,1,7.01,Faible
Audrey,Pham Huu,24,F,Sciences,M1,Technologique,2,0,99.9,0,6,4,5,12.9,5,1,1,1,30,58.0,Logement sur place,2,7,7,0,1,9.9,Moyen
Ramzi,Bergoin,23,M,Informatique,M1,Général,3,0,61.7,5,15,1,11,10.65,1,0,1,1,8,14.5,Transport en commun,5,6,7,1,1,9.07,Moyen
Coomi,Kamrach,21,F,Mathematiques,L2,Général,2,1,78.5,3,13,0,8,9.94,0,0,1,0,0,33.7,Voiture,3,0,7,0,1,9.82,Moyen
Seyed,Ursini,21,M,Gestion,L2,Général,3,1,78.4,2,15,2,8,11.12,1,1,0,0,0,6.9,Transport en commun,3,2,8,0,1,13.18,Bon
Mageda,Fontbonne,22,F,Droit,L2,Général,2,0,92.3,2,24,4,12,18.78,2,0,1,0,0,10.4,Transport en commun,3,6,10,0,1,17.74,Excellent
Lea,Ursini,23,F,Droit,M2,Général,3,0,81.0,3,13,0,6,10.19,1,0,0,1,16,11.4,Transport en commun,3,6,5,1,1,9.08,Moyen
Mahamat,Dushime,21,M,Informatique,L1,Général,2,1,81.8,3,7,2,5,14.42,2,1,0,0,0,5.9,Transport en commun,2,5,8,1,0,12.04,Bon
Sandrine,Garcia,25,F,Psychologie,M2,Général,2,0,53.9,6,16,4,7,12.88,5,0,0,1,16,8.6,Transport en commun,4,8,7,1,1,8.62,Moyen
Jessica,Mouissi amoussou,22,F,Gestion,L3,Général,2,1,61.1,4,7,1,12,9.86,2,0,1,1,20,16.4,Transport en commun,4,7,9,0,1,6.67,Faible
Julfab,Zebriquane,21,M,Gestion,L2,Professionnel,2,1,55.3,5,20,2,6,4.91,1,0,1,0,0,15.6,Transport en commun,2,9,10,0,1,7.75,Faible
Abdoul,Moudjalou mombo,20,M,Psychologie,L1,Professionnel,1,0,34.4,11,1,3,10,8.42,4,0,1,1,25,18.2,Transport en commun,4,0,7,0,1,1.98,Faible
Augustin,Intwari,20,M,Droit,L2,Général,0,0,80.4,5,8,3,11,11.09,2,0,0,1,16,7.8,Transport en commun,4,9,8,0,0,7.6,Faible
Olafemi,Chan,20,M,Droit,L2,Général,0,0,69.8,4,14,4,7,10.4,0,0,0,1,12,6.8,Transport en commun,5,4,9,0,1,10.28,Moyen
Beni,Fall,19,M,Lettres,L1,Général,3,1,80.4,3,17,1,7,15.73,2,0,1,0,0,17.0,Transport en commun,2,6,9,0,1,12.7,Bon
Khady,Ovono etoubembe,23,F,Gestion,L3,Général,1,0,74.6,4,8,4,9,8.01,2,1,0,0,0,2.6,Vélo/Marche,2,8,9,1,1,6.42,Faible
Kouaho,Martins,24,M,Psychologie,M2,Professionnel,1,0,77.8,2,7,5,10,10.24,3,1,1,1,25,5.3,Transport en commun,4,1,6,1,1,10.38,Moyen
Vincent,Baouya,23,M,Mathematiques,L3,Général,3,0,95.4,0,12,1,12,12.84,4,1,1,0,0,0.8,Vélo/Marche,2,5,6,0,1,14.69,Bon
Eva,Le page,21,F,Lettres,L3,Technologique,1,1,74.1,4,21,0,7,9.74,1,0,1,1,16,1.4,Vélo/Marche,0,8,5,1,0,6.46,Faible
Harold,Nait mohamed,20,M,Gestion,L1,Général,2,0,84.7,3,3,5,8,14.5,0,1,1,1,20,5.0,Transport en commun,4,4,6,0,1,14.85,Bon
Catherine,Ulukuz,20,F,Sciences,L2,Professionnel,1,0,69.2,5,9,2,12,6.67,0,1,0,1,20,0.5,Vélo/Marche,2,8,7,1,0,6.15,Faible
Cheikh,Garcia,20,M,Mathematiques,L1,Général,4,1,87.2,1,12,3,5,5.02,3,1,1,0,0,5.1,Transport en commun,3,7,7,1,1,9.42,Moyen
Jonathan,Ouattara,22,M,Informatique,L3,Technologique,3,1,54.2,5,7,3,4,9.71,3,1,1,0,0,19.2,Transport en commun,3,6,8,1,1,6.73,Faible
Naela,Nait mohamed,25,F,Droit,M2,Général,3,1,44.6,8,7,4,6,10.53,1,0,1,1,30,1.1,Vélo/Marche,4,7,8,0,1,6.7,Faible
Jessica,Dupont,23,F,Informatique,L3,Général,2,0,100.0,0,10,4,12,11.63,1,1,0,1,12,10.3,Transport en commun,2,8,7,0,1,13.57,Bon
Belicia,Fall,19,F,Lettres,L1,Général,3,0,100.0,4,12,1,8,11.33,5,1,1,0,0,44.0,Voiture,4,7,7,0,1,14.82,Bon
Kenza,Paire,22,F,Mathematiques,L2,Général,1,1,42.9,6,10,2,8,9.25,4,1,1,0,0,28.2,Voiture,3,8,8,0,0,5.71,Faible
Vavo,Djema,23,F,Informatique,L3,Professionnel,0,0,73.4,4,18,4,7,5.07,1,0,0,1,30,6.6,Transport en commun,3,4,5,1,1,5.34,Faible
Hugo,Traye Balezin,22,M,Informatique,L2,Professionnel,0,1,76.4,3,14,4,11,10.35,3,0,1,0,0,46.6,Voiture,2,7,8,1,0,8.23,Moyen
Ousmane,Agbagno,23,M,Informatique,M1,Technologique,2,1,85.6,1,13,3,6,6.85,2,0,0,0,0,7.2,Transport en commun,2,7,6,1,1,9.3,Moyen
Catherine,Wu,24,F,Psychologie,M1,Général,2,0,100.0,0,16,5,8,11.07,0,1,1,0,0,1.4,Vélo/Marche,3,8,9,1,1,15.95,Excellent
Miryam,Dupont,21,F,Mathematiques,L3,Technologique,2,1,57.0,5,13,3,7,6.59,1,1,1,0,0,92.3,Logement sur place,3,3,7,1,0,5.53,Faible
Belicia,Toubol,21,F,Droit,L2,Général,0,1,57.9,6,9,1,2,12.24,0,0,1,0,0,36.7,Voiture,5,8,7,0,1,5.45,Faible
CédricThomas,Dupont,20,M,Lettres,L1,Général,2,0,74.0,4,10,4,8,17.14,1,0,1,0,0,11.3,Transport en commun,3,4,4,0,1,12.26,Bon
Lyes,Jday,21,M,Gestion,L1,Général,2,0,58.6,4,5,2,9,8.04,2,1,1,0,0,19.8,Transport en commun,3,10,8,1,1,4.93,Faible
Lea,Rakotonjanahary,21,F,Lettres,L2,Général,2,0,30.6,8,21,0,7,5.99,1,0,1,1,20,20.0,Voiture,3,4,7,0,1,6.59,Faible
Francois,Iamundo,20,M,Lettres,L2,Général,3,0,70.4,5,16,2,8,15.15,1,0,1,1,8,3.9,Vélo/Marche,4,3,7,0,1,14.85,Bon
Anny,M'jahad,21,F,Psychologie,L3,Général,1,0,87.7,1,0,3,8,17.51,2,0,0,0,0,4.0,Vélo/Marche,3,5,7,0,1,11.24,Moyen
Wahiba,Sy,22,F,Mathematiques,L3,Général,3,0,73.7,3,18,5,9,6.07,0,0,1,1,12,11.4,Transport en commun,2,8,8,1,1,10.14,Moyen
Vincent,Kuzmenko,21,M,Gestion,L1,Technologique,2,1,84.0,3,4,2,6,10.45,3,0,1,0,0,43.7,Voiture,4,6,8,1,1,8.75,Moyen
Jessica,Tourret,22,F,Droit,L2,Général,1,0,81.7,4,14,2,6,12.65,1,1,1,0,0,0.5,Vélo/Marche,3,9,8,0,1,8.79,Moyen
Sandrine,Grosdoy,20,F,Droit,L1,Général,1,0,57.6,5,0,3,9,9.81,2,0,1,0,0,27.5,Voiture,3,5,9,1,1,5.72,Faible
Henoc,Gakosso,19,M,Droit,L1,Général,2,1,75.1,3,9,4,5,4.14,5,0,1,1,12,1.1,Vélo/Marche,3,4,6,1,0,7.2,Faible
Audrey,Tall,23,F,Gestion,M1,Général,3,0,49.6,6,18,3,8,5.58,1,1,1,0,0,11.7,Transport en commun,4,4,6,1,1,8.11,Moyen
Belicia,Ekoga bideng,21,F,Psychologie,L1,Général,2,1,65.8,4,18,3,12,5.98,2,1,1,0,0,18.3,Transport en commun,2,4,8,1,0,10.37,Moyen
Catherine,Adjagbe,22,F,Gestion,L2,Général,1,0,74.8,3,13,3,9,6.85,1,0,1,1,30,20.9,Voiture,0,2,8,1,1,6.64,Faible
Kouaho,Montean,20,M,Gestion,L1,Général,3,0,74.0,3,15,2,4,11.13,4,1,1,0,0,1.1,Vélo/Marche,4,4,8,1,1,10.7,Moyen
Louise,Nait mohamed,22,F,Mathematiques,M1,Technologique,2,0,53.3,5,4,2,9,14.97,3,1,1,1,30,9.8,Transport en commun,1,3,4,0,1,10.3,Moyen
Jonathan,Le page,22,M,Lettres,L3,Général,2,1,56.6,5,14,2,11,5.64,1,1,0,1,25,15.8,Transport en commun,4,7,5,0,0,3.07,Faible
Lyes,Paire,19,M,Informatique,L1,Technologique,2,0,78.7,2,15,4,7,7.81,2,1,0,1,30,1.2,Vélo/Marche,1,9,6,1,1,10.82,Moyen
Vavo,Kaba,20,F,Mathematiques,L2,Général,1,1,87.2,2,24,1,8,6.58,0,1,1,0,0,2.6,Vélo/Marche,3,6,4,0,1,10.97,Moyen
Ahmed,Moudjalou mombo,22,M,Psychologie,L3,Général,2,0,70.7,3,8,3,7,11.9,5,0,0,0,0,19.6,Transport en commun,1,4,7,0,0,9.71,Moyen
Julfab,El abi,24,M,Mathematiques,M2,Technologique,1,0,69.9,4,11,2,8,7.68,1,1,1,1,25,13.3,Transport en commun,3,7,7,1,1,5.95,Faible
Bintou,Ursini,19,F,Informatique,L1,Général,4,0,88.9,3,11,2,7,6.96,3,1,1,1,20,3.2,Vélo/Marche,4,5,5,0,1,9.81,Moyen
Sophie,Coly,22,F,Informatique,M1,Général,2,1,61.6,6,14,2,10,4.73,1,0,0,1,16,13.8,Transport en commun,2,8,6,0,0,4.9,Faible
Jessica,Djokpo,23,F,Droit,M2,Technologique,2,1,100.0,1,15,2,12,15.97,2,0,1,0,0,43.9,Voiture,3,3,7,1,1,16.81,Excellent
Dourra,Grosdoy,23,F,Lettres,M2,Général,2,0,52.5,8,16,2,9,19.12,5,1,1,0,0,0.5,Vélo/Marche,5,4,4,1,1,12.73,Bon
Koulbou,Lehie-Bi,23,M,Gestion,L3,Technologique,4,0,90.8,2,16,3,5,11.12,4,1,1,0,0,18.5,Transport en commun,3,7,6,1,1,14.21,Bon
Mikael,Gaye,22,M,Psychologie,L3,Général,3,0,82.6,7,4,2,12,16.45,0,0,0,0,0,1.4,Vélo/Marche,4,5,6,1,1,13.34,Bon
Nicolas,Dushime,20,M,Psychologie,L2,Technologique,2,0,100.0,1,0,3,10,8.65,2,0,0,0,0,0.5,Vélo/Marche,5,8,6,1,1,8.97,Moyen
Ikram,Yassir,23,F,Mathematiques,M1,Général,2,0,56.1,5,8,2,11,10.8,1,1,1,0,0,2.9,Vélo/Marche,5,4,6,0,0,12.2,Bon
Vavo,Houssam,20,F,Sciences,L2,Général,2,1,36.7,6,11,3,9,13.27,1,0,0,1,16,9.9,Transport en commun,4,6,9,0,1,8.52,Moyen
Naela,Aguigah,22,F,Psychologie,L3,Général,2,1,94.0,1,8,3,10,7.94,1,1,1,0,0,29.2,Voiture,2,7,9,0,0,7.97,Faible
Grace,Martins,21,F,Sciences,L2,Général,1,0,50.5,8,9,5,8,10.19,1,0,1,0,0,6.0,Transport en commun,5,2,6,1,1,6.9,Faible
Harold,Gueye,21,M,Informatique,L3,Général,2,0,83.9,4,9,2,11,9.73,2,0,0,0,0,17.7,Transport en commun,4,5,5,1,1,10.86,Moyen
Louise,Kuzmenko,22,F,Psychologie,M1,Général,1,1,92.9,2,14,1,8,12.46,0,1,1,0,0,9.5,Transport en commun,4,1,6,1,0,11.55,Moyen
Francois,Agbagno,20,M,Lettres,L1,Général,4,1,80.1,4,6,4,10,11.04,2,0,1,0,0,4.8,Vélo/Marche,0,9,9,1,0,10.15,Moyen
Mondesire,Richir,23,F,Mathematiques,M1,Général,1,0,77.7,3,11,1,11,8.04,1,0,0,0,0,13.0,Transport en commun,5,3,3,0,1,9.91,Moyen
Julfab,Dagou,21,M,Gestion,L2,Général,4,0,80.4,2,11,4,12,9.66,1,0,0,0,0,28.7,Voiture,4,5,7,1,0,13.58,Bon
Syrine,Sahadia,24,F,Informatique,M1,Professionnel,2,0,87.4,2,14,1,12,15.04,3,0,0,1,20,32.2,Voiture,4,5,6,0,1,12.44,Bon
Nicolas,Bergoin,20,M,Informatique,L2,Général,2,0,83.4,2,17,3,6,12.89,0,1,0,0,0,33.7,Voiture,1,3,9,0,1,9.74,Moyen
Yowan,Fall,22,M,Psychologie,L2,Général,2,0,54.5,5,19,1,12,12.56,1,1,1,1,30,7.4,Transport en commun,2,10,9,1,1,10.84,Moyen
Salim,Martins,25,M,Informatique,M2,Général,1,0,100.0,1,7,4,11,19.37,1,0,0,1,12,28.4,Voiture,5,4,4,1,1,15.8,Excellent
Jessica,Gueye,19,F,Gestion,L1,Général,1,1,74.8,5,1,3,10,6.5,2,0,1,1,30,4.3,Vélo/Marche,3,5,9,1,1,6.6,Faible
Clarissia,Dede,22,F,Lettres,M1,Professionnel,0,0,82.3,3,10,2,10,13.5,2,0,1,0,0,24.1,Voiture,3,4,3,1,0,8.53,Moyen
Georges,Fontbonne,22,M,Informatique,L2,Général,2,0,85.4,3,3,1,9,11.01,1,1,1,0,0,53.4,Logement sur place,4,4,8,0,1,9.61,Moyen
Ousmane,Motondo masengi,20,M,Droit,L2,Professionnel,2,0,92.5,5,25,2,8,12.11,1,0,0,1,30,0.5,Vélo/Marche,1,5,8,0,1,12.49,Bon
Blanche,Fall,21,F,Mathematiques,L2,Général,3,1,90.8,2,7,3,8,11.49,4,1,1,1,16,10.4,Transport en commun,3,7,10,0,1,13.65,Bon
Jey,Chan,22,M,Mathematiques,L3,Technologique,1,1,76.1,2,14,2,12,8.13,5,1,0,1,20,18.8,Transport en commun,3,6,7,0,1,9.03,Moyen
Francoise,Keita,22,F,Mathematiques,L2,Général,1,0,75.1,2,16,2,9,6.87,0,1,1,0,0,21.8,Voiture,2,4,6,0,1,7.88,Faible
Tova,Comparot,21,F,Mathematiques,L1,Technologique,2,0,80.5,2,13,3,10,10.8,2,1,1,1,16,3.5,Vélo/Marche,2,5,5,1,1,13.16,Bon
Brandon,Motondo masengi,19,M,Informatique,L1,Général,4,1,91.6,2,21,2,9,7.83,1,1,1,1,8,64.5,Logement sur place,2,2,9,1,0,13.76,Bon
Kouaho,Montanary,19,M,Sciences,L1,Général,2,0,56.2,5,10,1,7,9.4,1,1,1,1,20,17.2,Transport en commun,2,8,10,1,1,7.03,Faible
Sophie,Khelouat,25,F,Droit,M2,Général,2,0,84.3,4,7,1,4,13.83,1,1,1,0,0,3.2,Vélo/Marche,3,4,6,1,1,11.79,Moyen
Steph,Senouci,25,M,Mathematiques,M2,Général,2,0,59.8,4,7,3,11,6.14,2,0,1,0,0,0.5,Vélo/Marche,5,5,7,0,1,9.34,Moyen
Yassine,Ayachi,21,M,Sciences,L2,Professionnel,0,0,100.0,3,15,5,11,10.07,0,1,1,0,0,27.5,Voiture,3,1,9,1,1,13.59,Bon
Catherine,Pham Huu,22,F,Sciences,L3,Général,4,0,79.9,3,10,2,9,14.81,4,0,1,0,0,1.5,Vélo/Marche,2,4,8,1,1,18.01,Excellent
Manon,Tall,20,F,Psychologie,L2,Général,2,1,67.3,4,7,3,6,8.87,2,1,1,1,20,2.7,Vélo/Marche,2,9,6,1,1,6.71,Faible
Mariamari,Jida,22,F,Gestion,L3,Technologique,1,1,80.9,4,13,1,12,16.38,1,1,1,1,25,15.4,Transport en commun,4,7,5,1,1,12.63,Bon
Caroline,Tourret,22,F,Mathematiques,M1,Général,2,0,74.1,5,15,2,8,4.91,3,1,1,1,20,16.7,Transport en commun,5,8,5,0,1,5.83,Faible
Abdoul,Montanary,23,M,Mathematiques,M2,Professionnel,0,1,71.4,6,12,3,10,17.71,0,1,1,0,0,20.9,Voiture,2,6,9,1,1,12.76,Bon
Salim,Gueye,20,M,Sciences,L2,Technologique,4,0,45.1,7,15,2,7,10.87,1,0,1,1,30,9.0,Transport en commun,2,0,6,1,1,10.21,Moyen
Awa,Diop desbonnet,23,F,Psychologie,M1,Général,1,0,57.6,6,11,3,6,5.75,1,1,1,0,0,26.8,Voiture,3,6,6,1,0,6.44,Faible
Evadnee,Hounhuedo,21,F,Informatique,L1,Technologique,2,0,71.8,3,8,4,10,13.97,1,0,0,1,12,65.9,Logement sur place,4,6,8,1,1,12.46,Bon
Yassine,Djema,25,M,Gestion,M2,Général,1,1,47.0,7,15,5,5,12.44,1,0,0,1,20,5.7,Transport en commun,3,7,7,1,1,7.16,Faible
Dania,Montean,20,F,Droit,L1,Général,2,0,64.6,4,7,1,10,16.05,0,0,1,0,0,21.9,Voiture,3,5,8,0,1,11.8,Moyen
Koulbou,Keita,23,M,Psychologie,L3,Général,3,0,66.0,3,5,2,10,4.96,0,0,1,0,0,47.5,Voiture,4,4,6,0,1,6.33,Faible
Taisir,Kamrach,21,F,Droit,L3,Général,2,1,61.5,6,17,5,6,6.63,0,1,1,0,0,20.9,Voiture,5,5,6,0,1,9.76,Moyen
Salim,Montean,23,M,Psychologie,L3,Technologique,2,1,86.4,2,9,2,6,13.73,5,1,1,0,0,20.6,Voiture,2,5,5,0,0,10.83,Moyen
Francis,Belatar,20,M,Gestion,L1,Professionnel,3,1,59.9,5,19,3,7,20.0,0,1,1,1,16,4.6,Vélo/Marche,5,7,8,1,1,14.53,Bon
Balla,Ait mahammed,25,M,Lettres,M2,Général,0,0,75.4,2,15,2,7,12.99,0,0,1,0,0,13.8,Transport en commun,3,5,7,0,1,8.68,Moyen
Salim,Gueye,19,M,Sciences,L1,Général,1,0,68.3,3,9,2,5,13.57,5,1,0,0,0,14.9,Transport en commun,4,3,7,1,1,8.75,Moyen
Francis,Roumagnac,21,M,Informatique,L3,Professionnel,1,0,72.1,4,13,1,6,7.91,2,1,1,0,0,21.7,Voiture,3,7,5,1,1,6.31,Faible
Carla,Toubol,20,F,Lettres,L1,Général,4,0,99.7,0,24,4,9,10.11,2,1,0,1,8,103.5,Logement sur place,3,4,8,0,1,15.94,Excellent
Rawaa,Wu,21,F,Sciences,L2,Général,1,1,76.9,3,15,4,12,8.44,0,1,1,0,0,0.6,Vélo/Marche,4,5,7,1,1,11.08,Moyen
Caroline,Toubol,21,F,Informatique,L2,Général,3,0,80.0,3,14,2,12,12.71,2,1,0,0,0,1.2,Vélo/Marche,3,4,8,1,1,13.75,Bon
Magnificath,Yassir,20,F,Psychologie,L2,Professionnel,2,0,61.8,5,8,4,9,14.33,0,0,1,1,20,1.5,Vélo/Marche,1,6,7,1,0,10.66,Moyen
Japhet,Pham Huu,21,M,Lettres,L1,Général,1,1,84.0,2,20,2,12,11.51,2,1,1,0,0,24.5,Voiture,3,2,7,1,0,13.96,Bon
Julfab,Sagnon,21,M,Droit,L1,Technologique,1,0,83.3,3,18,1,12,13.82,5,1,0,0,0,2.6,Vélo/Marche,3,6,4,0,0,11.76,Moyen
Magnificath,Tobada,21,F,Informatique,L2,Technologique,1,0,81.8,3,8,3,8,10.69,2,1,1,1,20,17.5,Transport en commun,2,8,9,1,1,10.44,Moyen
Steph,Fall,24,M,Mathematiques,M1,Général,2,1,54.7,6,20,3,10,15.83,1,0,1,0,0,7.1,Transport en commun,5,6,4,1,1,12.16,Bon
Sandrine,Fall,24,F,Sciences,M1,Général,1,1,64.6,5,12,2,11,7.53,2,1,0,1,8,11.0,Transport en commun,2,4,9,1,1,8.85,Moyen
Abdoul,Belatar,20,M,Mathematiques,L1,Technologique,0,1,96.9,1,7,2,12,16.18,2,0,1,1,16,4.4,Vélo/Marche,3,5,7,1,0,12.31,Bon
Marie,Kamrach,21,F,Sciences,L2,Général,3,0,63.0,5,8,5,12,8.08,2,1,1,1,25,36.2,Voiture,2,6,4,0,1,8.39,Moyen
Anas,Grosdoy,19,M,Psychologie,L1,Technologique,4,0,99.1,1,15,4,6,10.86,2,1,0,0,0,15.9,Transport en commun,3,7,7,0,0,15.89,Excellent
Khady,Sall,19,F,Informatique,L1,Professionnel,1,1,65.3,3,7,4,12,6.26,2,0,0,1,16,52.1,Logement sur place,2,9,4,1,1,6.16,Faible
Evadnee,Kouleta,21,F,Lettres,L3,Général,1,0,76.4,2,5,1,12,12.72,2,0,0,1,30,15.4,Transport en commun,3,2,9,1,1,8.1,Moyen
Blanche,Dushime,21,F,Lettres,L3,Technologique,0,0,71.0,3,9,3,12,11.3,5,1,1,0,0,2.4,Vélo/Marche,2,6,6,0,0,9.29,Moyen
